t_s,iteration,freq_hz,phase,setpoint_deg,psi_deg,psi_dot_dps,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
7314.0261,1,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.0500,0.935820,0.088889,0.000167,-0.000000,0.846765,1498
7314.0312,2,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.1000,0.935987,0.088889,0.000333,-0.000000,0.846765,1496
7314.0363,3,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.1500,0.936153,0.088889,0.000500,-0.000000,0.846765,1494
7314.0414,4,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.2000,0.936320,0.088889,0.000667,-0.000000,0.846765,1492
7314.0465,5,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.2500,0.936487,0.088889,0.000833,-0.000000,0.846765,1490
7314.0516,6,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.3000,0.936653,0.088889,0.001000,-0.000000,0.846765,1488
7314.0567,7,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.3500,0.936820,0.088889,0.001167,-0.000000,0.846765,1486
7314.0617,8,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.4000,0.936987,0.088889,0.001333,-0.000000,0.846765,1484
7314.0668,9,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.4500,0.937153,0.088889,0.001500,-0.000000,0.846765,1482
7314.0719,10,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.5000,0.937320,0.088889,0.001667,-0.000000,0.846765,1480
7314.0770,11,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.5500,0.937487,0.088889,0.001833,-0.000000,0.846765,1478
7314.0820,12,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.6000,0.937653,0.088889,0.002000,-0.000000,0.846765,1476
7314.0871,13,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.6500,0.937820,0.088889,0.002167,-0.000000,0.846765,1474
7314.0922,14,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.7000,0.937987,0.088889,0.002333,-0.000000,0.846765,1472
7314.0973,15,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.7500,0.938153,0.088889,0.002500,-0.000000,0.846765,1470
7314.1024,16,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.8000,0.938320,0.088889,0.002667,-0.000000,0.846765,1468
7314.1075,17,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.8500,0.938487,0.088889,0.002833,-0.000000,0.846765,1466
7314.1126,18,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.9000,0.938653,0.088889,0.003000,-0.000000,0.846765,1464
7314.1177,19,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,0.9500,0.938820,0.088889,0.003167,-0.000000,0.846765,1462
7314.1228,20,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.0000,0.938987,0.088889,0.003333,-0.000000,0.846765,1460
7314.1278,21,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.0500,0.939153,0.088889,0.003500,-0.000000,0.846765,1458
7314.1329,22,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.1000,0.939320,0.088889,0.003667,-0.000000,0.846765,1456
7314.1380,23,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.1500,0.939487,0.088889,0.003833,-0.000000,0.846765,1454
7314.1431,24,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.2000,0.939653,0.088889,0.004000,-0.000000,0.846765,1452
7314.1481,25,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.2500,0.939820,0.088889,0.004167,-0.000000,0.846765,1450
7314.1532,26,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.3000,0.939987,0.088889,0.004333,-0.000000,0.846765,1448
7314.1583,27,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.3500,0.940153,0.088889,0.004500,-0.000000,0.846765,1446
7314.1634,28,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.4000,0.940320,0.088889,0.004667,-0.000000,0.846765,1444
7314.1685,29,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.4500,0.940487,0.088889,0.004833,-0.000000,0.846765,1442
7314.1735,30,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.5000,0.940653,0.088889,0.005000,-0.000000,0.846765,1440
7314.1786,31,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.5500,0.940820,0.088889,0.005167,-0.000000,0.846765,1438
7314.1837,32,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.6000,0.940987,0.088889,0.005333,-0.000000,0.846765,1436
7314.1888,33,0.0000,settle_init,10.0000,-0.0000,0.0000,10.0000,1.6500,0.941153,0.088889,0.005500,-0.000000,0.846765,1434
